district,date,centx,centy,ipc,area,pop,closest_district,date_future,conflict_count,fatalities,fatalities_per_pop,fatalities_per_area,fatalities_per_poparea,conflicts_per_pop,conflicts_per_area,conflicts_per_poparea
Bor,2019-02-01,32.00486,6.465644,3.0,14008.33,162438.0,Bor,2019-02-01,1,0.0,0.0,0.0,0.0,6.156194979007375e-06,7.138609670103432e-05,0.08623801081027838
Bor,2019-06-01,32.00486,6.465644,3.0,14008.33,162438.0,Bor,2019-06-01,1,5.0,3.078097489503688e-05,0.00035693048350517154,0.4311900540513919,6.156194979007375e-06,7.138609670103432e-05,0.08623801081027838
Jur River,2012-04-01,28.02439,7.592506,3.0,10091.04,155654.0,Jur River,2012-04-01,1,0.0,0.0,0.0,0.0,6.424505634291441e-06,9.90978135058428e-05,0.06482994333586031
Jur River,2012-10-01,28.02439,7.592506,1.0,10091.04,155654.0,Jur River,2012-10-01,1,0.0,0.0,0.0,0.0,6.424505634291441e-06,9.90978135058428e-05,0.06482994333586031
Jur River,2013-01-01,28.02439,7.592506,1.0,10091.04,157850.0,Jur River,2013-01-01,1,0.0,0.0,0.0,0.0,6.3351282863477985e-06,9.90978135058428e-05,0.06392803294266709
Jur River,2013-04-01,28.02439,7.592506,1.0,10091.04,157850.0,Jur River,2013-04-01,6,8.67,5.492556224263541e-05,0.0008591780430956571,0.5542560456129237,3.801076971808679e-05,0.0005945868810350568,0.3835681976560026
Jur River,2013-07-01,28.02439,7.592506,2.0,10091.04,157850.0,Jur River,2013-07-01,2,0.0,0.0,0.0,0.0,1.2670256572695597e-05,0.0001981956270116856,0.12785606588533419
Jur River,2013-10-01,28.02439,7.592506,1.0,10091.04,157850.0,Jur River,2013-10-01,1,1.0,6.3351282863477985e-06,9.90978135058428e-05,0.06392803294266709,6.3351282863477985e-06,9.90978135058428e-05,0.06392803294266709
Jur River,2014-04-01,28.02439,7.592506,2.0,10091.04,160046.0,Jur River,2014-04-01,2,25.0,0.00015620509103632705,0.00247744533764607,1.576271821851218,1.2496407282906164e-05,0.0001981956270116856,0.12610174574809743
Jur River,2014-07-01,28.02439,7.592506,2.0,10091.04,160046.0,Jur River,2014-07-01,2,0.0,0.0,0.0,0.0,1.2496407282906164e-05,0.0001981956270116856,0.12610174574809743
Jur River,2014-10-01,28.02439,7.592506,1.0,10091.04,160046.0,Jur River,2014-10-01,9,0.67,4.186296439773565e-06,6.639553504891468e-05,0.04224408482561264,5.623383277307774e-05,0.0008918803215525852,0.5674578558664385
